26,30|1,0,14,10,15,10;0,-1,11,10,11,9;0,1,9,15,9,17;-1,0,8,15,7,15,7,13,6,13;-1,0,10,8,10,10,7,10;0,-1,15,13,15,11;1,0,10,17,10,16,12,16;1,0,13,11,14,11;0,1,10,13,10,12,8,12,8,14;-1,0,11,13,11,11,9,11;0,1,9,9,4,9,4,12,0,12,0,16,4,16,4,19;-1,0,20,12,20,9,17,9,17,7,13,7,13,2,9,2;1,0,3,26,8,26,8,23,12,23;0,1,19,23,15,23,15,20,13,20,13,16,14,16,14,18;0,1,11,20,12,20,12,18,10,18,10,21,14,21,14,23;1,0,7,4,7,1,12,1,12,0,14,0,14,2,15,2;1,0,17,0,17,3,14,3,14,5,15,5;0,-1,14,6,17,6,17,4,22,4,22,8,20,8,20,6;1,0,22,0,22,3,18,3,18,1,21,1;1,0,11,24,11,26,15,26,15,24,18,24;0,1,20,16,22,16,22,20,20,20,20,24;-1,0,16,8,16,9,12,9,12,4,10,4,10,6,5,6;0,-1,0,8,3,8,3,5,6,5,6,4;0,1,19,24,19,25,22,25,22,21,21,21,21,23;-1,0,0,6,2,6,2,1,6,1,6,3,3,3;-1,0,3,9,0,9,0,11,3,11,3,10,1,10;0,1,8,20,3,20,3,17,0,17,0,20,2,20,2,22;0,1,2,23,2,26,0,26,0,21,1,21,1,23;1,0,16,20,16,15,12,15,12,12,14,12,14,14,18,14;1,0,16,11,18,11,18,13,20,13;1,0,19,21,17,21,17,17,19,17,19,14,21,14;0,1,10,26,10,24,9,24,9,25;0,-1,0,2,0,5,1,5,1,1;0,-1,22,14,22,10,24,10,24,13,23,13,23,11;0,1,18,25,16,25,16,26,19,26,19,27;1,0,23,25,23,23,24,23,24,28,21,28,21,26,23,26;-1,0,10,27,8,27,8,28,13,28,13,27,11,27;1,0,21,12,21,9,22,9;0,-1,24,3,24,5,23,5,23,3;0,-1,23,0,24,0,24,2,23,2,23,1;-1,0,1,28,5,28,5,27,3,27;1,0,26,14,26,12,25,12,25,9,23,9,23,6,25,6;1,0,15,30,15,27,18,27,18,29,20,29;-1,0,14,30,14,29,9,29,9,30,7,30,7,29,5,29;0,1,26,27,26,25,25,25,25,29;-1,0,1,30,4,30,4,29,1,29;0,-1,26,2,26,5,25,5,25,1;1,0,25,24,26,24,26,22,23,22,23,21,24,21
24,28|1,0,13,10,14,10;0,1,10,16,10,17;0,1,8,17,8,18;0,1,10,15,9,15,9,18;0,1,9,13,9,14;1,0,13,13,12,13,12,14,13,14;1,0,11,10,12,10;1,0,11,13,11,15,13,15;1,0,11,11,13,11;1,0,12,7,10,7,10,9,12,9;0,1,13,12,10,12,10,14;0,-1,8,10,9,10,9,8;-1,0,10,10,10,11,7,11;0,-1,8,19,12,19,12,17,15,17,15,12,18,12,18,8;1,0,4,13,4,10,7,10,7,8,5,8,5,3,9,3;-1,0,17,11,17,10,15,10,15,7,20,7,20,2,16,2;0,-1,10,5,10,0,5,0,5,2,7,2,7,1;-1,0,6,23,6,26,11,26,11,23,7,23,7,18,2,18;0,-1,19,13,19,11,22,11,22,6,21,6,21,1;0,-1,4,21,0,21,0,17,3,17,3,14;0,-1,0,0,1,0,1,1,4,1,4,6,3,6,3,2;1,0,9,20,12,20,12,22,8,22,8,21,10,21;0,1,22,16,18,16,18,13,17,13,17,17,20,17,20,22;1,0,13,21,13,19,17,19,17,21,14,21,14,23,17,23;0,1,17,24,16,24,16,26,18,26,18,23,19,23,19,25;0,1,19,26,22,26,22,21,21,21,21,24;0,-1,9,4,6,4,6,7,7,7,7,6,11,6,11,1;0,-1,19,3,19,6,15,6,15,4,13,4,13,1;1,0,20,13,20,12,22,12,22,14,19,14,19,15,21,15;-1,0,2,4,0,4,0,9,2,9,2,6,1,6;-1,0,1,26,5,26,5,23,4,23;-1,0,0,10,3,10,3,12,2,12;0,-1,16,5,16,3,14,3,14,1;0,-1,13,7,14,7,14,5,12,5,12,1;-1,0,0,13,2,13,2,16,1,16;-1,0,5,21,5,20,2,20,2,19,6,19,6,22,3,22;0,1,13,23,12,23,12,24,15,24,15,25;-1,0,0,1,0,3,2,3,2,2,1,2;-1,0,4,24,4,25,3,25,3,23,1,23;-1,0,0,26,0,24,2,24,2,25,1,25;0,-1,24,16,24,12,23,12,23,7;1,0,15,2,15,1,18,1,18,0,22,0,22,5,23,5;-1,0,23,20,23,24,24,24,24,27,23,27;-1,0,24,28,22,28,22,27,18,27;0,-1,23,0,24,0,24,4,23,4,23,3;1,0,24,18,22,18,22,20,21,20,21,17,23,17;-1,0,17,28,12,28,12,27,9,27;-1,0,6,28,8,28,8,27,5,27
26,30|0,-1,13,9,13,8;0,-1,11,9,11,8;0,-1,11,10,12,10,12,9;0,1,8,15,8,18;0,1,10,17,9,17,9,19;-1,0,10,6,10,9,8,9;0,1,5,18,5,15,7,15,7,16;0,1,9,15,9,16,11,16,11,17;0,-1,13,11,13,10;0,1,10,14,11,14,11,15;-1,0,7,12,7,14,5,14;-1,0,10,10,8,10,8,11,7,11;1,0,16,10,14,10,14,9,15,9;0,-1,8,14,9,14,9,11;0,-1,11,12,11,11;0,-1,12,11,12,13,10,13,10,11;0,-1,16,9,16,7,11,7,11,4;0,1,11,24,8,24,8,19,4,19,4,14,2,14,2,18;0,-1,0,7,2,7,2,11,5,11,5,8,9,8,9,7;1,0,10,3,10,5,5,5,5,0,7,0,7,2,12,2;0,-1,12,5,17,5,17,8,19,8,19,3,15,3,15,1;-1,0,11,26,6,26,6,24,1,24;-1,0,16,26,12,26,12,25,7,25,7,22,4,22;1,0,9,20,9,23,11,23,11,20,15,20;1,0,20,20,20,16,18,16,18,11,14,11,14,13,17,13;0,1,10,19,11,19,11,18,14,18,14,14,17,14,17,17;1,0,12,0,16,0,16,2,20,2;-1,0,0,22,0,26,4,26,4,25,2,25;1,0,19,17,19,20,17,20,17,22,19,22;0,-1,19,9,19,11,20,11,20,6,21,6,21,2;-1,0,1,22,3,22,3,19,1,19;0,-1,1,0,1,5,3,5,3,9,4,9,4,5;0,1,22,11,21,11,21,16,22,16,22,21,20,21,20,22;-1,0,7,9,6,9,6,13,5,13,5,12,2,12;1,0,16,21,12,21,12,23,14,23;1,0,12,24,13,24,13,25,15,25;0,1,17,26,22,26,22,22,21,22,21,23;1,0,22,4,22,0,17,0,17,1,19,1;0,-1,2,2,2,4,4,4,4,3;-1,0,0,17,0,20,2,20,2,21,1,21;0,1,23,10,21,10,21,9,24,9,24,14,23,14,23,16;1,0,7,28,7,27,2,27,2,28,0,28,0,27,1,27;0,1,24,23,24,19,23,19,23,23;0,1,24,28,24,24,23,24,23,26;0,-1,22,5,22,7,21,7,21,8,23,8,23,6;0,-1,24,2,24,5,23,5,23,3;-1,0,16,30,16,28,21,28,21,30,25,30,25,29,23,29;0,1,13,30,8,30,8,27,12,27,12,28;-1,0,3,28,4,28,4,30,7,30,7,29,6,29
26,30|-1,0,7,17,6,17;1,0,12,9,13,9;-1,0,7,15,6,15;-1,0,8,16,7,16;1,0,11,10,14,10;-1,0,8,19,8,18,6,18;0,-1,6,7,6,9,8,9,8,7;-1,0,8,14,6,14;-1,0,9,16,9,15,8,15;0,-1,7,10,9,10,9,8;0,-1,9,11,6,11,6,10;0,-1,11,13,13,13,13,12;1,0,13,14,13,15,15,15;0,1,13,16,13,18;-1,0,12,14,9,14,9,13,7,13;1,0,9,18,12,18;0,1,11,16,12,16,12,17;1,0,8,17,10,17,10,15,12,15;-1,0,4,5,4,10,1,10,1,15,5,15,5,19,2,19;1,0,18,13,18,16,22,16,22,12,17,12,17,8,21,8;1,0,8,3,13,3,13,8,15,8,15,3,20,3;0,1,4,18,4,16,0,16,0,21,1,21,1,24;1,0,14,25,14,21,9,21,9,20,4,20,4,22,9,22;0,1,13,22,13,26,10,26,10,22,12,22,12,23;-1,0,17,4,19,4,19,7,22,7,22,2,20,2;0,-1,5,14,2,14,2,11,5,11,5,6,7,6,7,2;-1,0,15,2,11,2,11,1,6,1;1,0,9,0,14,0,14,1,19,1;-1,0,6,5,5,5,5,1,4,1,4,4,1,4;0,1,10,19,10,20,14,20,14,18,15,18,15,22;1,0,14,26,15,26,15,24,19,24;0,1,17,26,21,26,21,22,22,22,22,18,20,18,20,23;1,0,22,11,20,11,20,9,18,9,18,11,19,11;-1,0,0,4,0,9,3,9,3,6,2,6;-1,0,1,25,1,26,5,26,5,25,3,25;0,1,8,26,6,26,6,24,4,24,4,23,7,23,7,25;0,-1,4,0,0,0,0,3,2,3,2,1;1,0,15,23,16,23,16,22,18,22,18,17,20,17;0,1,8,25,8,23,9,23,9,24;-1,0,9,25,9,27,7,27;-1,0,14,28,14,27,10,27,10,28,6,28,6,27,4,27;0,-1,24,22,23,22,23,20,24,20,24,16,23,16,23,14;0,-1,24,4,23,4,23,7,24,7,24,10,23,10,23,8;0,1,23,28,21,28,21,27,24,27,24,23,22,23,22,24;0,-1,24,1,24,3,23,3,23,1;0,1,18,25,16,25,16,27;1,0,3,27,0,27,0,29,4,29;0,1,23,11,24,11,24,15,26,15,26,17,25,17,25,19;1,0,21,30,18,30,18,29,22,29;0,-1,22,1,21,1,21,0,26,0,26,4,25,4,25,1
35,40|-1,0,6,24,5,24;-1,0,10,34,9,34;-1,0,9,33,8,33;-1,0,7,26,6,26;1,0,27,9,28,9;1,0,29,15,30,15;1,0,27,16,28,16;-1,0,11,33,10,33;-1,0,12,34,11,34;0,-1,23,7,23,6;0,-1,23,9,23,8;-1,0,9,31,8,31;-1,0,9,28,8,28;1,0,27,14,30,14;1,0,29,10,29,12,30,12;1,0,28,12,28,13,29,13;-1,0,7,24,7,23,6,23;1,0,26,8,28,8;0,1,18,33,18,32,16,32,16,34;-1,0,8,29,8,30,10,30,10,32,7,32;-1,0,10,29,10,27,7,27;1,0,11,35,13,35,13,33,15,33;0,1,18,31,18,30,19,30,19,31;0,1,11,32,11,30,12,30,12,33;0,-1,22,7,22,6;-1,0,10,26,8,26,8,25,7,25;1,0,25,8,25,7,27,7,27,6,28,6;0,-1,27,10,26,10,26,9;0,-1,28,11,25,11,25,9,24,9,24,7;0,-1,26,12,24,12,24,10;-1,0,10,23,10,24,8,24;-1,0,13,30,13,32,15,32,15,30,14,30;0,-1,20,6,20,8,18,8,18,6;0,1,15,29,16,29,16,31;1,0,20,24,22,24;-1,0,13,11,14,11,14,13,12,13;1,0,28,15,26,15,26,13,27,13;-1,0,16,11,15,11;0,1,21,20,22,20,22,21;0,-1,22,11,22,8,21,8,21,5;-1,0,11,23,11,25,9,25;1,0,18,29,19,29;-1,0,9,22,7,22;-1,0,11,19,8,19,8,21,7,21;0,1,20,28,17,28,17,29;1,0,25,14,24,14,24,13,25,13;0,1,12,24,13,24,13,27,11,27,11,29;0,1,15,28,14,28,14,29;0,1,17,25,17,27;-1,0,17,10,16,10,16,9,13,9;-1,0,11,20,12,20,12,21,9,21;1,0,19,11,19,10,21,10;1,0,26,16,24,16,24,17,27,17;0,1,22,17,22,19,24,19,24,21;0,-1,11,17,12,17,12,14;-1,0,16,12,17,12,17,14,15,14;1,0,20,25,19,25,19,27,20,27;0,-1,20,12,18,12,18,9,17,9,17,7;0,1,14,25,14,27,16,27,16,28;-1,0,10,22,13,22,13,23,12,23;1,0,18,26,18,24,19,24;0,1,25,15,23,15,23,16;0,1,22,15,22,12,23,12,23,14;0,1,16,24,15,24,15,26;0,1,19,23,17,23,17,24;0,1,16,23,16,22,14,22,14,23;0,-1,13,17,13,18,10,18,10,17;-1,0,13,20,14,20,14,21,13,21;1,0,21,14,20,14,20,15,21,15;-1,0,21,12,21,13,19,13,19,14,18,14;-1,0,14,16,14,19,13,19;0,1,18,21,19,21,19,22;0,1,15,17,15,19,16,19,16,20;0,-1,21,17,21,16;1,0,17,15,19,15,19,16,20,16;1,0,16,18,19,18,19,17,20,17;0,1,21,19,18,19,18,20,17,20,17,22;0,-1,5,26,4,26,4,24,2,24,2,19,7,19,7,14;0,1,0,25,0,30,1,30,1,33;0,1,30,13,32,13,32,18;0,-1,27,4,30,4,30,9,35,9,35,14,34,14,34,12;1,0,27,24,24,24,24,28,28,28,28,30,32,30;1,0,20,5,20,2,16,2,16,0,21,0,21,1,24,1;-1,0,17,33,17,34,20,34,20,39,16,39;1,0,34,4,31,4,31,0,26,0,26,3,30,3;0,-1,10,9,10,6,7,6,7,1;0,1,6,32,6,27,1,27,1,29,4,29,4,34;-1,0,1,35,5,35,5,34,6,34,6,36,4,36;0,1,33,26,29,26,29,29,34,29,34,31,31,31,31,35;0,-1,12,9,11,9,11,13,9,13,9,9,6,9,6,6;-1,0,15,5,11,5,11,0,6,0,6,4,5,4;-1,0,16,40,12,40,12,39,9,39;-1,0,11,40,8,40,8,39,6,39;1,0,20,40,24,40,24,38,28,38,28,36,32,36;1,0,20,20,20,23,24,23,24,22,28,22,28,24,33,24;0,1,7,40,5,40,5,38,7,38,7,37,4,37,4,38;0,-1,32,0,32,3,34,3,34,1;1,0,35,37,35,35,32,35,32,34,34,34;0,-1,2,16,5,16,5,12,3,12,3,10,1,10,1,6;1,0,35,23,35,27,31,27,31,28,33,28;-1,0,3,7,3,5,1,5,1,0,4,0,4,4,3,4;1,0,35,7,35,5,34,5,34,8,31,8,31,7,33,7;0,1,30,40,34,40,34,36,33,36,33,38;-1,0,0,9,0,13,4,13,4,14,3,14;0,1,0,31,0,36,3,36,3,38;0,-1,15,0,12,0,12,4,13,4,13,2;1,0,25,18,25,21,26,21,26,20,29,20
25,28|0,1,11,18,11,19;-1,0,6,9,5,9;-1,0,9,15,8,15;0,-1,11,9,11,8;0,-1,6,8,9,8,9,6;-1,0,10,9,7,9,7,10,5,10;-1,0,8,13,8,11,5,11;-1,0,9,12,9,10,8,10;-1,0,9,16,8,16;-1,0,12,10,10,10;0,-1,13,8,12,8,12,7;0,1,9,14,10,14,10,16;0,-1,9,13,10,13,10,11;0,1,12,17,12,18,13,18,13,19;1,0,16,15,18,15;-1,0,13,9,12,9;1,0,15,15,15,16,17,16;0,1,16,13,16,14;1,0,14,11,14,8,15,8;0,1,14,15,13,15,13,17;0,-1,11,11,11,12,13,12,13,10;1,0,14,14,15,14,15,12,16,12;1,0,11,16,12,16,12,13,14,13;0,-1,8,24,8,20,3,20,3,15,1,15,1,10;1,0,2,0,4,0,4,5,9,5,9,2,12,2;-1,0,20,26,20,23,15,23,15,26,13,26,13,25,8,25;0,-1,19,19,22,19,22,14,17,14,17,12,19,12,19,10;0,-1,20,0,17,0,17,2,20,2,20,7,17,7,17,4;1,0,11,7,11,3,16,3,16,8,19,8;0,1,0,25,0,20,2,20,2,25;0,-1,2,6,2,9,0,9,0,7,1,7,1,4;1,0,9,19,9,24,11,24,11,21,14,21;0,-1,23,8,23,12,20,12,20,8,21,8,21,4;0,1,0,26,4,26,4,23,6,23,6,21,3,21,3,23;1,0,12,24,12,22,15,22,15,20,17,20;1,0,16,22,16,21,17,21,17,22,19,22;1,0,23,20,20,20,20,22,22,22;-1,0,0,3,0,0,1,0,1,3,3,3,3,1,2,1;0,1,19,26,18,26,18,24,16,24,16,25;0,-1,22,7,23,7,23,5,22,5,22,2;0,-1,5,0,5,4,7,4,7,3;0,-1,15,0,13,0,13,2,14,2,14,1;0,-1,8,4,8,2,7,2,7,1;0,1,7,21,7,24,5,24,5,25;1,0,23,23,23,26,21,26,21,25,22,25;-1,0,0,13,0,16,2,16,2,17,1,17;-1,0,0,19,0,18,2,18,2,19,1,19;0,-1,25,24,25,20,24,20,24,16;0,1,5,26,5,28,10,28,10,26,12,26,12,27;0,-1,25,19,25,15,24,15,24,13;0,1,21,21,24,21,24,26;0,-1,25,14,25,12,24,12,24,11;1,0,17,25,17,27,22,27
25,28|0,1,5,14,5,15;-1,0,6,10,5,10;0,-1,14,8,13,8,13,6;0,1,10,18,11,18,11,19;1,0,10,7,11,7,11,8,12,8;1,0,16,13,17,13;1,0,7,6,8,6,8,8,10,8;0,-1,5,12,6,12,6,11;0,1,9,18,9,16,10,16,10,17;0,1,12,15,12,16;-1,0,8,17,8,16,6,16;1,0,16,14,17,14;0,-1,10,11,9,11,9,10;1,0,14,14,14,15,17,15;0,-1,18,11,15,11,15,9;1,0,14,11,14,12,16,12;0,-1,8,11,8,9,7,9,7,7;0,-1,11,13,11,11;0,-1,5,13,7,13,7,10;0,-1,8,13,8,15,6,15,6,14;0,-1,10,13,10,12;1,0,13,12,13,10,14,10;0,1,9,15,11,15,11,17;0,-1,9,12,9,14,12,14,12,11;-1,0,21,9,21,13,19,13,19,18,23,18,23,20,20,20;1,0,2,21,2,26,4,26,4,22,9,22,9,25,14,25;0,-1,4,17,0,17,0,12,3,12,3,8;-1,0,17,12,20,12,20,8,15,8,15,3,13,3;-1,0,5,7,3,7,3,5,7,5,7,2,4,2;-1,0,5,16,5,17,7,17,7,18,4,18,4,20,1,20;0,-1,3,0,3,2,0,2,0,6,1,6,1,3;0,1,13,20,18,20,18,22,21,22,21,25;1,0,9,1,8,1,8,5,10,5,10,1,13,1;0,-1,14,1,17,1,17,3,16,3,16,7,18,7,18,2;0,1,0,20,0,22,1,22,1,24;0,-1,21,3,21,8,23,8,23,12,22,12,22,9;0,-1,22,4,22,3,23,3,23,7,22,7,22,5;1,0,15,0,19,0,19,2,20,2;1,0,22,19,19,19,19,21,21,21;0,1,23,23,22,23,22,26,20,26,20,23,18,23,18,24;0,1,12,26,7,26,7,23,5,23,5,24;1,0,22,13,23,13,23,14,20,14,20,17,21,17;1,0,21,2,23,2,23,0,20,0,20,1,22,1;-1,0,0,7,0,11,2,11,2,7,1,7;0,1,8,20,10,20,10,24,13,24,13,21,15,21,15,22;0,1,19,25,17,25,17,21,16,21,16,22;0,1,16,26,16,23,15,23,15,25;1,0,23,16,21,16,21,15,22,15;-1,0,0,0,2,0,2,1,1,1;-1,0,0,18,0,19,1,19,1,18,3,18,3,19,2,19;-1,0,10,27,10,28,6,28,6,27,1,27;1,0,15,26,15,28,11,28,11,27,14,27;0,1,25,16,24,16,24,19,25,19,25,24,23,24,23,27;0,-1,25,15,25,11,24,11,24,8
24,28|-1,0,9,19,8,19;-1,0,10,21,9,21;0,-1,17,9,17,8;0,-1,12,7,12,6;-1,0,10,19,10,20,7,20;0,-1,15,8,14,8,14,7;0,-1,14,10,14,9;0,-1,15,10,16,10,16,8;1,0,9,5,8,5,8,6,11,6;-1,0,11,21,11,18,10,18;-1,0,8,9,5,9;0,1,12,19,12,17,13,17,13,18;0,-1,13,9,13,7;0,-1,14,12,14,11;1,0,16,11,15,11,15,12,17,12;1,0,14,20,14,17,16,17;0,-1,7,13,7,10,9,10,9,7;0,-1,10,11,10,8;0,1,8,16,10,16,10,17;0,-1,12,10,12,8,11,8,11,7;0,1,12,15,11,15,11,16;0,-1,9,12,9,13,10,13,10,12;0,-1,15,16,15,13;0,-1,14,15,14,13;0,-1,11,13,11,11,13,11,13,10;0,1,10,14,13,14,13,16;-1,0,20,7,15,7,15,5,13,5,13,3,9,3;0,-1,4,16,4,21,8,21,8,26,3,26,3,22;-1,0,4,9,4,6,1,6,1,4,6,4,6,2,3,2;1,0,9,22,13,22,13,26,9,26,9,23,11,23;0,1,18,16,16,16,16,15,19,15,19,19,15,19,15,23;0,-1,14,26,14,24,16,24,16,21,21,21,21,16;0,-1,22,6,18,6,18,4,14,4,14,1;1,0,13,2,13,0,15,0,15,3,17,3;0,-1,5,3,1,3,1,2;1,0,22,15,21,15,21,11,17,11,17,10,21,10;0,-1,22,1,19,1,19,5,21,5,21,2;-1,0,8,4,8,2,12,2,12,1,11,1;0,-1,21,0,18,0,18,2,16,2,16,1;0,1,0,21,3,21,3,16,0,16,0,12,1,12,1,14;-1,0,7,4,7,0,10,0,10,1,9,1;0,1,0,23,0,26,2,26,2,22,1,22,1,25;-1,0,6,10,6,12,3,12,3,7,2,7;1,0,22,23,21,23,21,26,17,26,17,22,21,22;-1,0,0,17,0,20,2,20,2,18,1,18;-1,0,6,16,6,13,2,13,2,8,1,8;1,0,20,9,18,9,18,8,20,8;-1,0,4,0,6,0,6,1,2,1;0,-1,24,18,24,13,22,13,22,11,23,11,23,7;-1,0,24,28,22,28,22,24,24,24,24,27,23,27;0,-1,24,10,24,6,23,6,23,5;-1,0,12,27,13,27,13,28,11,28,11,27,9,27;0,-1,24,5,24,4,23,4,23,2;-1,0,10,28,8,28,8,27,6,27;1,0,23,16,22,16,22,19,23,19;-1,0,0,27,0,28,5,28,5,27,2,27
24,31|-1,0,8,24,7,24;-1,0,9,12,8,12;-1,0,7,21,5,21;0,-1,9,7,10,7,10,6;-1,0,10,21,8,21,8,22,5,22;1,0,13,5,13,7,16,7;1,0,14,10,14,8,15,8;-1,0,7,19,8,19,8,20,6,20;0,-1,9,8,11,8,11,6;0,-1,12,9,12,6;0,-1,12,10,13,10,13,8;-1,0,11,9,11,11,10,11;0,1,7,17,7,18;-1,0,9,19,9,18,8,18;-1,0,14,21,11,21;-1,0,9,13,7,13;0,-1,16,13,15,13,15,12;-1,0,10,18,10,20,9,20;0,-1,14,13,14,11;0,1,10,17,11,17,11,19;-1,0,8,15,8,14,6,14;0,1,9,14,9,16;0,-1,12,13,12,11;0,1,10,14,10,16;0,-1,14,14,13,14,13,12;0,1,11,12,11,15;1,0,12,14,12,15,14,15;0,-1,3,25,0,25,0,21,2,21,2,18,5,18,5,13;-1,0,22,7,22,4,20,4,20,1,16,1,16,4,11,4;0,-1,12,3,8,3,8,8,5,8,5,12,3,12,3,8;1,0,22,12,22,16,19,16,19,11,15,11,15,9,17,9;-1,0,5,3,2,3,2,7,7,7,7,6,4,6;-1,0,3,19,3,22,1,22,1,24,4,24,4,26,1,26;1,0,19,3,18,3,18,8,21,8;0,-1,1,6,0,6,0,2,3,2,3,1;1,0,12,27,7,27,7,25,12,25;1,0,22,29,22,27,19,27,19,22,14,22,14,24,18,24;0,1,9,29,13,29,13,25,16,25,16,26;0,1,0,26,0,28,5,28,5,26,6,26,6,28;0,-1,10,1,10,0,12,0,12,2,9,2,9,1;0,1,14,29,17,29,17,25,18,25,18,26;-1,0,1,20,0,20,0,17,4,17,4,14,2,14;1,0,16,10,18,10,18,9,21,9;-1,0,0,14,0,16,3,16,3,15,2,15;-1,0,0,0,2,0,2,1,1,1;1,0,11,20,12,20,12,19,16,19;1,0,20,17,20,20,22,20,22,25,20,25,20,22,21,22;0,-1,13,3,13,0,15,0,15,3,14,3,14,2;-1,0,0,7,0,8,2,8,2,11,1,11;0,-1,3,4,4,4,4,5,7,5,7,3;0,-1,20,0,22,0,22,3,21,3,21,2;0,-1,5,4,6,4,6,1;0,-1,3,0,5,0,5,2,4,2,4,1;0,-1,6,0,8,0,8,2,7,2,7,1;1,0,21,13,21,15,20,15,20,11,21,11;-1,0,0,13,2,13,2,12,1,12;0,1,24,9,24,13,23,13,23,18
31,38|-1,0,16,32,15,32;-1,0,6,22,5,22;0,1,15,24,15,25;1,0,22,29,23,29;0,1,14,25,14,26;0,1,23,26,23,27;0,1,13,26,13,27;-1,0,7,8,6,8;0,1,14,23,14,24;0,1,9,29,9,30;0,1,23,25,24,25,24,27;0,1,12,27,12,28;0,1,10,30,10,28,8,28,8,29;0,-1,10,8,10,6,9,6,9,5;0,1,20,31,20,30,22,30,22,31;-1,0,8,19,8,17,7,17;0,1,16,33,17,33,17,31,19,31,19,32;1,0,26,10,26,13,24,13,24,14,25,14;0,-1,5,12,5,10;1,0,20,28,22,28;0,1,7,26,8,26,8,27,11,27,11,29;-1,0,8,8,8,9,6,9;-1,0,7,10,9,10,9,7,8,7;0,1,11,25,9,25,9,26;1,0,24,8,24,10,25,10;1,0,19,29,21,29;1,0,24,24,23,24,23,23,24,23;-1,0,7,11,7,14,6,14;0,1,5,23,5,25,6,25,6,26;-1,0,19,30,18,30,18,29,16,29;1,0,24,17,24,16,25,16;1,0,23,14,23,15,24,15;-1,0,20,27,19,27,19,28,17,28;0,1,6,24,7,24,7,25;0,1,24,21,24,22,22,22,22,25;-1,0,8,25,8,23,7,23;1,0,19,26,20,26,20,23,21,23;0,1,18,22,18,23,17,23,17,24;0,1,11,24,12,24,12,26;-1,0,9,23,9,24,10,24,10,22,7,22;1,0,19,24,19,22,21,22;0,1,16,22,16,23;1,0,21,20,20,20,20,21,21,21;-1,0,7,15,9,15,9,16,7,16;-1,0,13,25,13,23,11,23;1,0,23,8,23,6,24,6;1,0,22,18,23,18;0,1,8,21,11,21,11,22;0,1,20,19,19,19,19,21;0,1,23,16,23,17;0,-1,13,7,14,7,14,6;0,1,9,18,9,20,7,20,7,21;1,0,22,13,23,13,23,12,25,12;0,1,15,21,15,23;1,0,22,14,21,14,21,12,22,12;0,-1,8,12,8,11;0,1,10,20,12,20,12,22;1,0,20,15,22,15;0,1,21,17,21,19;0,-1,22,7,22,6;0,-1,10,10,11,10,11,9;0,-1,11,11,11,12,9,12,9,11;0,1,14,22,14,20,13,20,13,22;0,-1,22,8,22,10,23,10,23,9;1,0,23,11,20,11,20,10,21,10;-1,0,9,17,11,17,11,19,10,19;1,0,17,20,18,20;1,0,18,19,16,19,16,21,18,21;0,-1,12,9,14,9,14,8;0,-1,19,11,19,9,20,9,20,7;0,1,12,19,15,19,15,20;-1,0,15,18,12,18;-1,0,13,15,11,15,11,13,10,13;-1,0,13,11,13,10,12,10;0,1,22,17,22,16,20,16,20,18;1,0,20,12,18,12,18,13,19,13;0,-1,12,12,12,14,14,14,14,11;-1,0,12,17,12,16,10,16;-1,0,14,38,14,36,12,36,12,38,7,38,7,37,5,37;0,1,5,13,5,17,0,17,0,19,2,19,2,24;0,-1,4,9,4,6,8,6,8,4;1,0,27,13,27,18,30,18,30,23,25,23,25,27,26,27;-1,0,29,33,29,38,24,38,24,35,19,35;-1,0,3,30,3,34,7,34,7,36,9,36,9,33,5,33;1,0,7,5,5,5,5,3,9,3;-1,0,18,4,20,4,20,0,17,0,17,2,13,2;0,-1,31,12,31,8,29,8,29,4;0,1,2,33,0,33,0,35,1,35,1,37;1,0,23,28,24,28,24,30,27,30;1,0,31,29,31,25,29,25,29,24,26,24,26,26,30,26;0,-1,23,4,21,4,21,0,25,0,25,5,27,5,27,1;0,-1,30,12,30,15,28,15,28,13;-1,0,15,0,12,0,12,1,10,1;-1,0,3,1,3,6,0,6,0,10,3,10,3,7,1,7;0,1,18,32,18,36,23,36,23,37;0,-1,27,7,27,10,28,10,28,6;1,0,26,3,26,0,28,0,28,1,29,1;-1,0,4,10,4,11,0,11,0,14,4,14,4,12,1,12;1,0,31,13,31,16,28,16,28,17,30,17;-1,0,4,31,7,31,7,27,4,27,4,25,1,25;1,0,19,34,19,33,23,33,23,31,24,31;0,1,15,38,17,38,17,35,16,35,16,37;1,0,30,7,30,5,31,5,31,2,28,2,28,3,30,3;-1,0,4,30,6,30,6,29,4,29;-1,0,1,21,1,23,0,23,0,27,3,27,3,29,1,29;0,-1,2,3,2,0,0,0,0,5,2,5,2,4;1,0,28,34,25,34,25,31,26,31;0,-1,11,4,11,2,9,2,9,1
